fecha,variacion
2020-03-02,-10.21387904
2020-03-03,-3.749879556
2020-03-04,-0.4
2020-03-05,-6.474034116
2020-03-06,-1.958923855
2020-03-07,-1.864687315
2020-03-08,-29.89577336
2020-03-09,-62.64600709
2020-03-10,-30.29878383
2020-03-11,-0.4
2020-03-12,0.2483500445
2020-03-13,-5.57794343
2020-03-14,-1.349238708
2020-03-15,-31.57491414
2020-03-16,-66.60979589
2020-03-17,-37.35593902
2020-03-18,-32.62961744
2020-03-19,-49.58836786
2020-03-20,-50.25256794
2020-03-21,-45.43535022
2020-03-22,-49.99066923
2020-03-23,-66.82011348
2020-03-24,-73.87861802
2020-03-25,-74.19633718
2020-03-26,-78.17865883
2020-03-27,-80.19300226
2020-03-28,-70.64940044
2020-03-29,-71.12981676
2020-03-30,-73.03290484
2020-03-31,-70.11428524
2020-04-01,-66.94327046
2020-04-02,-72.45471442
2020-04-03,-73.55389176
2020-04-04,-64.64384364
2020-04-05,-68.0840166
2020-04-06,-82.61149961
2020-04-07,-85.96989539
2020-04-08,-83.29895383
2020-04-09,-88.42813774
2020-04-10,-92.57928307
2020-04-11,-87.63085347
2020-04-12,-80.65712414
2020-04-13,-82.09484987
2020-04-14,-84.3431741
2020-04-15,-82.87161776
2020-04-16,-85.11129388
2020-04-17,-87.81511918
2020-04-18,-80.76612566
2020-04-19,-75.79202319
2020-04-20,-79.73587575
2020-04-21,-81.85470526
2020-04-22,-79.04127108
2020-04-23,-86.35203619
2020-04-24,-87.12476075
2020-04-25,-83.36739956
2020-04-26,-82.83059697
2020-04-27,-85.07130103
2020-04-28,-86.0417426
2020-04-29,-84.3390737
2020-04-30,-80.2591952
2020-05-01,-89.3797862
2020-05-02,-81.23486258
2020-05-03,-79.41236029
2020-05-04,-82.74625688
2020-05-05,-84.99566403
2020-05-06,-84.77424875
2020-05-07,-87.58370727
2020-05-08,-86.44421784
2020-05-09,-81.84427458
2020-05-10,-79.48382998
2020-05-11,-86.66865594
2020-05-12,-88.05388331
2020-05-13,-86.14270964
2020-05-14,-87.64337579
2020-05-15,-85.46720979
2020-05-16,-80.62302049
2020-05-17,-79.34287586
2020-05-18,-82.42428326
2020-05-19,-85.94894868
2020-05-20,-84.10838389
2020-05-21,-86.4153332
2020-05-22,-84.79375587
2020-05-23,-79.750619
2020-05-24,-78.69011931
2020-05-25,-81.32601152
2020-05-26,-85.06960591
2020-05-27,-83.79146537
2020-05-28,-84.25920326
2020-05-29,-81.40885469
2020-05-30,-75.13750246
2020-05-31,-73.83256239
2020-06-01,-76.27189204
2020-06-02,-81.76589122
2020-06-03,-80.44063993
2020-06-04,-82.41673621
2020-06-05,-81.02713992
2020-06-06,-77.14448492
2020-06-07,-75.67409819
2020-06-08,-73.48121339
2020-06-09,-80.05349789
2020-06-10,-79.34407945
2020-06-11,-81.15462612
2020-06-12,-79.32887272
2020-06-13,-72.68122379
2020-06-14,-75.12139922
2020-06-15,-69.28015555
2020-06-16,-75.5817948
2020-06-17,-73.64805694
2020-06-18,-76.69964562
2020-06-19,-73.33449665
2020-06-20,-69.06795335
2020-06-21,-72.06646682
2020-06-22,-71.86147915
2020-06-23,-76.7166874
2020-06-24,-72.76180493
2020-06-25,-75.03779678
2020-06-26,-72.39347886
2020-06-27,-70.13989205
2020-06-28,-72.83953068
2020-06-29,-67.03861277
2020-06-30,-67.43101202
2020-07-01,-63.00295417
2020-07-02,-67.20126433
2020-07-03,-62.76081571
2020-07-04,-63.67990884
2020-07-05,-63.86928987
2020-07-06,-63.01899596
2020-07-07,-69.21546202
2020-07-08,-64.46033143
2020-07-09,-66.11715188
2020-07-10,-62.9229536
2020-07-11,-61.44368812
2020-07-12,-64.00786167
2020-07-13,-66.56383404
2020-07-14,-68.64424531
2020-07-15,-56.24598253
2020-07-16,-61.60996142
2020-07-17,-58.92221925
2020-07-18,-57.29795846
2020-07-19,-64.78132259
2020-07-20,-62.47659796
2020-07-21,-65.03617496
2020-07-22,-59.95784872
2020-07-23,-65.59384285
2020-07-24,-61.37482755
2020-07-25,-59.56928045
2020-07-26,-61.50364297
2020-07-27,-62.50186494
2020-07-28,-65.60613487
2020-07-29,-58.56004766
2020-07-30,-60.79334938
2020-07-31,-50.29564718
2020-08-01,-51.12688568
2020-08-02,-59.30396458
2020-08-03,-52.13614334
2020-08-04,-58.70126225
2020-08-05,-54.24726812
2020-08-06,-58.95612348
2020-08-07,-57.30283978
2020-08-08,-55.24561437
2020-08-09,-58.78263286
2020-08-10,-54.40535949
2020-08-11,-56.70420317
2020-08-12,-53.5666212
2020-08-13,-57.71759858
2020-08-14,-44.92219381
2020-08-15,-43.59361373
2020-08-16,-51.7559707
2020-08-17,-53.01350942
2020-08-18,-61.22219848
2020-08-19,-51.91909283
2020-08-20,-55.66971863
2020-08-21,-54.77970513
2020-08-22,-50.3214466
2020-08-23,-57.01296381
2020-08-24,-57.54472257
2020-08-25,-59.67654094
2020-08-26,-56.2094753
2020-08-27,-57.56278297
2020-08-28,-49.25847361
2020-08-29,-41.34821267
2020-08-30,-52.92847075
2020-08-31,-51.2380824
2020-09-01,-57.5297129
2020-09-02,-53.0149814
2020-09-03,-55.69773864
2020-09-04,-56.00246479
2020-09-05,-49.10694276
2020-09-06,-61.23721983
2020-09-07,-55.46320405
2020-09-08,-60.18051872
2020-09-09,-56.38126082
2020-09-10,-53.73291082
2020-09-11,-50.06843601
2020-09-12,-47.24252546
2020-09-13,-57.75068988
2020-09-14,-49.16691132
2020-09-15,-59.90025178
2020-09-16,-87.78777434
2020-09-17,-65.90811048
2020-09-18,-53.22921609
2020-09-19,-58.83782405
2020-09-20,-68.2904846
2020-09-21,-60.85277287
2020-09-22,-66.30303183
2020-09-23,-59.60352709
2020-09-24,-63.81870447
2020-09-25,-56.97529215
2020-09-26,-58.90829659
2020-09-27,-67.59365508
2020-09-28,-63.70120463
2020-09-29,-61.63422022
2020-09-30,-58.92444797
2020-10-01,-59.94750783
2020-10-02,-51.1879509
2020-10-03,-53.47732053
2020-10-04,-65.96176371
2020-10-05,-59.47223278
2020-10-06,-63.76093942
2020-10-07,-61.25979032
2020-10-08,-62.90775167
2020-10-09,-54.53813421
2020-10-10,-54.32434111
2020-10-11,-67.20613051
2020-10-12,-62.00350369
2020-10-13,-65.39436366
2020-10-14,-54.31669903
2020-10-15,-54.85935566
2020-10-16,-49.71107827
2020-10-17,-49.98717454
2020-10-18,-61.03511941
2020-10-19,-59.68423484
2020-10-20,-62.53157716
2020-10-21,-55.2085503
2020-10-22,-59.36332079
2020-10-23,-49.68326762
2020-10-24,-52.02979828
2020-10-25,-62.45895456
2020-10-26,-57.14237587
2020-10-27,-62.79969502
2020-10-28,-57.46774262
2020-10-29,-57.77121962
2020-10-30,-43.47658543
2020-10-31,-44.32669019
2020-11-01,-63.58380814
2020-11-02,-82.77994619
2020-11-03,-61.6604036
2020-11-04,-56.80322159
2020-11-05,-59.33590553
2020-11-06,-53.57330469
2020-11-07,-55.32040707
2020-11-08,-66.91786941
2020-11-09,-57.41622189
2020-11-10,-57.06846641
2020-11-11,-51.01133964
2020-11-12,-58.07298911
2020-11-13,-31.87427406
2020-11-14,-33.10076494
2020-11-15,-46.71378372
2020-11-16,-69.67961459
2020-11-17,-41.30816377
2020-11-18,-37.58205726
2020-11-19,-41.10031971
2020-11-20,-30.97379074
2020-11-21,-34.54666713
2020-11-22,-45.31615414
2020-11-23,-41.96606042
2020-11-24,-44.83202835
2020-11-25,-39.40988203
2020-11-26,-42.23180413
2020-11-27,-33.52001003
2020-11-28,-26.59893022
2020-11-29,-34.44005479
2020-11-30,-32.65481444
2020-12-01,-36.3528012
2020-12-02,-27.42610647
2020-12-03,-34.3914416
2020-12-04,-33.01723715
2020-12-05,-29.32791874
2020-12-06,-40.83698954
2020-12-07,-32.98496975
2020-12-08,-28.43557421
2020-12-09,-17.37564588
2020-12-10,-20.89547124
2020-12-11,-23.32786209
2020-12-12,-21.59483957
2020-12-13,-13.42240575
2020-12-14,-27.03254869
2020-12-15,-23.65553559
2020-12-16,-18.74455471
2020-12-17,-26.67827784
2020-12-18,-23.50526857
2020-12-19,-28.53409008
2020-12-20,-26.2690834
2020-12-21,-26.19825682
2020-12-22,-34.32222739
2020-12-23,-21.63579231
2020-12-24,-49.77846047
2020-12-25,-84.23445285
2020-12-26,-60.6952211
2020-12-27,-45.30225725
2020-12-28,-48.02051198
2020-12-29,-50.82928015
2020-12-30,-39.87887665
2020-12-31,-56.25834049
2021-01-01,-86.76594886
2021-01-02,-69.57260157
2021-01-03,-54.29592424
2021-01-04,-45.69113634
2021-01-05,-37.52665469
2021-01-06,-57.08475275
2021-01-07,-66.47032499
2021-01-08,-63.7387326
2021-01-09,-53.00885362
2021-01-10,-22.88618451
2021-01-11,-51.23543539
2021-01-12,-60.64972497
2021-01-13,-58.6308224
2021-01-14,-62.21188774
2021-01-15,-54.61066002
2021-01-16,-47.6259393
2021-01-17,-52.45002085
2021-01-18,-49.39840505
2021-01-19,-57.23247913
2021-01-20,-54.59419871
2021-01-21,-58.53743595
2021-01-22,-56.03409258
2021-01-23,-50.95812959
2021-01-24,-59.55132914
2021-01-25,-53.37735404
2021-01-26,-60.22639201
2021-01-27,-54.48064557
2021-01-28,-56.65767607
2021-01-29,-48.46977819
2021-01-30,-39.43681367
2021-01-31,-50.30553295
2021-02-01,-73.80703722
2021-02-02,-46.81798568
2021-02-03,-47.66588949
2021-02-04,-54.82307075
2021-02-05,-49.71507719
2021-02-06,-43.45914888
2021-02-07,-57.15193266
2021-02-08,-52.18812115
2021-02-09,-54.26642536
2021-02-10,-46.79061204
2021-02-11,-53.48839084
2021-02-12,-41.39460401
2021-02-13,-30.51029142
2021-02-14,-34.56075917
2021-02-15,-48.3634211
2021-02-16,-48.20884705
2021-02-17,-45.13255705
2021-02-18,-55.44959018
2021-02-19,-45.92483127
2021-02-20,-39.68171251
2021-02-21,-50.22651923
2021-02-22,-50.13788556
2021-02-23,-53.54187875
2021-02-24,-46.99935272
2021-02-25,-48.6911227
2021-02-26,-37.61344654
2021-02-27,-31.12888375
2021-02-28,-54.53098013
2021-03-01,-43.91161848
2021-03-02,-48.8529583
2021-03-03,-41.28586051
2021-03-04,-47.75275463
2021-03-05,-42.64299308
2021-03-06,-36.58929087
2021-03-07,-46.90039904
2021-03-08,-49.14236624
2021-03-09,-43.60015249
2021-03-10,-38.63516743
2021-03-11,-39.26974605
2021-03-12,-32.15110815
2021-03-13,-25.45651898
2021-03-14,-35.88850728
2021-03-15,-68.71224992
2021-03-16,-41.28470346
2021-03-17,-37.55137328
2021-03-18,-36.80378331
2021-03-19,-39.5062065
2021-03-20,-35.04618517
2021-03-21,-44.64553017
2021-03-22,-45.344617650000004
2021-03-23,-47.32887587
2021-03-24,-38.82173501
2021-03-25,-41.93305837
2021-03-26,-36.20001127
2021-03-27,-34.6508909
2021-03-28,-44.5970896
2021-03-29,-43.97490627
2021-03-30,-41.33560396
2021-03-31,-30.16907547
2021-04-01,-63.68707088
2021-04-02,-82.22590607
2021-04-03,-67.44519477
2021-04-04,-57.3306069
2021-04-05,-43.99247284
2021-04-06,-47.27420497
2021-04-07,-44.34619597
2021-04-08,-48.05734628
2021-04-09,-40.36451943
2021-04-10,-40.03083511
2021-04-11,-48.89321236
2021-04-12,-48.11845164
2021-04-13,-49.25576349
2021-04-14,-36.25503094
2021-04-15,-41.11140677
2021-04-16,-34.9621648
2021-04-17,-31.56467948
2021-04-18,-44.89686526
2021-04-19,-43.65148883
